index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
5519,Economic Forecast_3,NZDUSD,2,1.0,655.8,676.9000000000001,[275.8 380. ],[278.6 398.3],[161.9 281.8],[148.9 274.1],[113.8 224.8],[129.7 261.3],[ 80.5 146.1],[ 75.  143.6],[ 51.  104.2],[ 62.3 117.1],"(array([ 97.2, 144.4]),)","(array([ 97.3, 146.2]),)","(array([35.3, 59. ]),)","(array([31.3, 57.8]),)","(array([17.2, 36.1]),)","(array([13.5, 33. ]),)"
5520,Economic Forecast_3.5,NZDUSD,2,0.89,681.6,686.7,[285.  396.6],[279.1 407.6],[170.2 299. ],[151.1 283.6],[114.7 226.9],[128.  258.7],[103.5 184.6],[ 98.1 188.1],[ 57.2 121.1],[ 53.9 108.9],"(array([116.4, 173.9]),)","(array([115.7, 177.9]),)","(array([35.8, 60.1]),)","(array([31.3, 57.8]),)","(array([17.7, 37. ]),)","(array([13.9, 33.3]),)"
5521,Economic Forecast_4,NZDUSD,2,1.0,772.0999999999999,701.4,[319.7 452.4],[288.9 412.5],[177.2 314.9],[160.9 289.9],[142.5 275.9],[128.  258.7],[127.8 225.5],[130.2 233.5],[ 79.5 163.7],[ 53.9 108.9],"(array([155.5, 218. ]),)","(array([144.3, 210.7]),)","(array([33., 57.]),)","(array([31.3, 57.8]),)","(array([14.5, 32. ]),)","(array([13.9, 33.3]),)"
5522,Electronic Card Retail Sales (MoM)_0.5,NZDUSD,4,0.3875,251.3,150.4,[ 95.7 155.6],[61.4 89. ],[38.5 78.1],[29.7 52.2],[ 57.2 118. ],[31.7 44.8],[ 9.9 21.5],[11.2 22.4],[11.6 22.4],[ 8.6 15.8],"(array([17.1, 25.4]),)","(array([13.4, 19.3]),)","(array([29.9, 54.1]),)","(array([17.8, 29.9]),)","(array([17.7, 35.9]),)","(array([12.3, 21. ]),)"
5523,Electronic Card Retail Sales (MoM)_1,NZDUSD,2,0.87,366.4,232.4,[138.4 228. ],[ 92.4 140. ],[ 66.1 144. ],[40.2 74.6],[ 72.3 143.9],[52.2 86.9],[32.1 55.3],[28.4 50.4],[24.5 45.6],[29.3 49.4],"(array([35.1, 50.1]),)","(array([28.2, 41.3]),)","(array([30.3, 55.7]),)","(array([22.7, 37.7]),)","(array([17.9, 37. ]),)","(array([15.7, 26.1]),)"
5524,Electronic Card Retail Sales (MoM)_1.5,NZDUSD,2,0.91,479.8,318.4,[187.2 292.6],[130.1 188.3],[ 89.5 178.7],[48.8 84.7],[ 97.7 187.9],[ 81.2 140.4],[49.9 82.3],[50.2 81. ],[46.2 78.8],[63.7 91.2],"(array([52.2, 74.1]),)","(array([48.8, 72.4]),)","(array([28.7, 51.3]),)","(array([24. , 38.9]),)","(array([17. , 35.4]),)","(array([17. , 27.8]),)"
5525,Electronic Card Retail Sales (MoM)_2,NZDUSD,2,0.85,552.5,374.5,[218.2 334.3],[152.7 221.8],[102.9 203.4],[49.2 85.3],[115.3 212.6],[103.6 170.3],[57.2 95.3],[55.5 91.6],[ 68.3 110.2],[ 79.7 117.2],"(array([63.4, 93.8]),)","(array([60.9, 93.9]),)","(array([28.5, 51.1]),)","(array([24. , 38.9]),)","(array([16.9, 35.4]),)","(array([17. , 27.8]),)"
5526,Electronic Card Retail Sales (MoM)_2.5,NZDUSD,2,0.935,639.0,497.9,[251.3 387.7],[204.2 293.7],[114.6 221.9],[ 59.5 100.5],[136.7 259.1],[144.7 237. ],[ 71.  121.3],[ 73.3 124.4],[ 82.9 132.9],[105.6 148.3],"(array([ 79.8, 116.9]),)","(array([ 80.4, 117.8]),)","(array([28.5, 51.3]),)","(array([24. , 38.9]),)","(array([16.9, 35.7]),)","(array([17. , 27.8]),)"
5527,Electronic Card Retail Sales (MoM)_3,NZDUSD,2,0.95,722.1,578.0999999999999,[289.  433.1],[254.2 323.9],[130.6 243.1],[ 84.7 149.9],[158.4 299.1],[169.5 263.3],[ 91.4 157. ],[ 96.  165.7],[ 96.9 157.1],[125.2 177.9],"(array([ 99.3, 146.4]),)","(array([103.4, 150. ]),)","(array([28.5, 51.3]),)","(array([24. , 38.9]),)","(array([16.9, 35.7]),)","(array([17. , 27.8]),)"
5528,Electronic Card Retail Sales (MoM)_3.5,NZDUSD,2,0.915,818.2,654.5,[324.6 493.6],[296.2 358.3],[149.5 285.1],[112.3 211.4],[175.1 328.6],[183.8 286.1],[101.7 177.9],[106.2 187.8],[114.6 185. ],[131.7 190.5],"(array([118.9, 169.6]),)","(array([120.1, 171.5]),)","(array([28.5, 51.3]),)","(array([24. , 38.9]),)","(array([16.9, 35.7]),)","(array([17. , 27.8]),)"
