index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
3303,Industrial Production_2,NZDCHF,2,0.875,1019.1,1019.1,[381.7 637.4],[381.7 637.4],[162.7 263.9],[162.7 263.9],[219.  516.9],[219.  516.9],[42.3 86.8],[42.3 86.8],[51.9 98.2],[51.9 98.2],"(array([ 73. , 110.5]),)","(array([ 73. , 110.5]),)","(array([ 63.9, 100.7]),)","(array([ 63.9, 100.7]),)","(array([38.1, 68. ]),)","(array([38.1, 68. ]),)"
3304,Industrial Production_2.5,NZDCHF,2,1.0,1130.1,1130.1,[429.8 700.3],[429.8 700.3],[173.  275.7],[173.  275.7],[256.8 566. ],[256.8 566. ],[ 68.4 125.3],[ 68.4 125.3],[ 64.6 125.1],[ 64.6 125.1],"(array([111.9, 142.5]),)","(array([111.9, 142.5]),)","(array([ 63.9, 100.7]),)","(array([ 63.9, 100.7]),)","(array([38.1, 68. ]),)","(array([38.1, 68. ]),)"
3305,Industrial Production_3,NZDCHF,2,1.0,1211.6,1211.6,[470.  741.6],[470.  741.6],[165.8 263.8],[165.8 263.8],[304.2 614.8],[304.2 614.8],[ 75.5 152.9],[ 75.5 152.9],[100.3 164.9],[100.3 164.9],"(array([135.2, 160.6]),)","(array([135.2, 160.6]),)","(array([ 67.8, 106.2]),)","(array([ 67.8, 106.2]),)","(array([42.8, 72.6]),)","(array([42.8, 72.6]),)"
3306,Industrial Production_3.5,NZDCHF,2,1.0,1251.2,1251.2,[497.7 753.5],[497.7 753.5],[180.3 293.6],[180.3 293.6],[317.3 623.6],[317.3 623.6],[ 85.3 176. ],[ 85.3 176. ],[111.5 185.8],[111.5 185.8],"(array([156.2, 192.3]),)","(array([156.2, 192.3]),)","(array([ 67.8, 106.2]),)","(array([ 67.8, 106.2]),)","(array([42.8, 72.6]),)","(array([42.8, 72.6]),)"
3307,Industrial Production_4,NZDCHF,2,1.0,1279.4,1279.4,[516.5 762.9],[516.5 762.9],[199.2 332.8],[199.2 332.8],[317.3 623.6],[317.3 623.6],[ 90.7 188.9],[ 90.7 188.9],[111.5 185.8],[111.5 185.8],"(array([161.5, 202.6]),)","(array([161.5, 202.6]),)","(array([ 67.8, 106.2]),)","(array([ 67.8, 106.2]),)","(array([42.8, 72.6]),)","(array([42.8, 72.6]),)"
3308,Industrial orders_0.5,NZDCHF,2,0.91,317.6,338.8,[123.1 194.5],[126.9 211.9],[ 61.  128.5],[ 70.  154.4],[ 62.1 107.5],[56.9 95.5],[13.4 25.2],[13.  25.1],[12.2 21.3],[11.4 21.1],"(array([16.7, 24.3]),)","(array([18.2, 27. ]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3309,Industrial orders_1,NZDCHF,3,0.6066666666666667,395.1,415.7,[160.8 234.3],[164.5 251.2],[ 83.1 162. ],[ 82.1 171.9],[ 77.7 136.3],[ 82.4 145.8],[27.  47.7],[22.1 42.1],[25.7 46.7],[30.7 54. ],"(array([36.2, 49.7]),)","(array([39.7, 52.8]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3310,Industrial orders_1.5,NZDCHF,2,0.825,463.6,452.8,[191.  272.6],[185.9 266.9],[106.4 206.6],[ 98.6 191.8],[ 84.6 146.5],[ 87.3 151.7],[46.4 78.9],[49.  84.4],[35.3 66.2],[35.5 63.9],"(array([52.8, 71.7]),)","(array([52.7, 70. ]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3311,Industrial orders_2,NZDCHF,2,0.835,520.4,487.1,[214.9 305.5],[201.3 285.8],[124.1 235.2],[114.  210.2],[ 90.8 152.3],[ 87.3 151.7],[56.  99.5],[ 61.6 109.7],[44.6 82.1],[35.5 63.9],"(array([69.3, 91.9]),)","(array([65.2, 88.2]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3312,Industrial orders_2.5,NZDCHF,2,0.965,557.6,542.5,[236.1 321.5],[229.8 312.7],[142.  251.8],[140.4 238.2],[ 94.1 157.6],[ 89.4 154.9],[ 88.9 141. ],[104.6 150.5],[48.1 90.7],[40.2 77.8],"(array([ 90.1, 115.4]),)","(array([ 93.4, 115.7]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
