index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
2171,Employment Change_2,CADJPY,3,0.58,1510.0,1659.8,[583.8 926.2],[662.9 996.9],[298.5 621.1],[361.3 703.3],[285.3 569.7],[301.6 568.5],[44.1 87. ],[ 59.9 104.6],[41.8 85.2],[35.7 75.5],"(array([ 66.7, 101.9]),)","(array([ 80. , 104.6]),)","(array([146.9, 312.1]),)","(array([119.2, 194.8]),)","(array([46.3, 94.7]),)","(array([54.3, 89. ]),)"
2172,Employment Change_2.5,CADJPY,3,0.5933333333333334,1584.9,1697.8000000000002,[611.3 973.6],[ 678.7 1019.1],[311.  650.7],[367.8 727.5],[300.3 590.1],[310.8 574.2],[ 54.6 108.1],[ 62.6 111.4],[ 50.2 102.4],[ 47.5 102.5],"(array([ 79.8, 124.4]),)","(array([ 94.4, 126.5]),)","(array([146.9, 312.1]),)","(array([119.2, 194.8]),)","(array([46.3, 94.7]),)","(array([54.3, 89. ]),)"
2173,Employment Change_3,CADJPY,3,0.59,1632.5,1737.2,[ 630.9 1001.6],[ 702.7 1034.5],[318.  663.4],[369.8 730.4],[313.  609.3],[332.9 596.3],[ 63.6 125.6],[ 74.5 136.2],[ 62.6 125.6],[ 50. 110.],"(array([ 95.5, 147.6]),)","(array([108.8, 151.7]),)","(array([146.9, 312.1]),)","(array([119.2, 194.8]),)","(array([46.3, 94.7]),)","(array([54.3, 89. ]),)"
2174,Employment Change_3.5,CADJPY,3,0.9433333333333334,1752.5,1770.4,[ 658.3 1094.2],[ 719.3 1051.1],[322.4 668.8],[372.9 733.3],[335.8 681.6],[346.4 619.7],[ 70.5 140.1],[ 89.9 166.2],[ 72.8 146.3],[ 51.2 114. ],"(array([109.3, 169.5]),)","(array([125.5, 180.2]),)","(array([146.9, 312.1]),)","(array([119.2, 194.8]),)","(array([46.3, 94.7]),)","(array([54.3, 89. ]),)"
2175,Employment Change_4,CADJPY,3,0.9066666666666666,1781.9,1775.6,[ 670.8 1111.1],[ 723.7 1051.9],[325.2 672.2],[377.2 736.5],[345.6 701. ],[346.4 619.7],[ 76.8 154.9],[104.5 195. ],[ 90.  178.5],[ 51.2 114. ],"(array([128.3, 196.6]),)","(array([140.1, 200.3]),)","(array([146.9, 312.1]),)","(array([119.2, 194.8]),)","(array([46.3, 94.7]),)","(array([54.3, 89. ]),)"
2176,Exports_0.5,CADJPY,2,0.9,561.1,485.1,[218.4 342.7],[216.6 268.5],[105.9 219.5],[ 90.2 139.6],[112.5 210.4],[126.4 197.8],[10.4 22.2],[11.9 22.4],[11.8 23.5],[ 9.8 17.6],"(array([19.6, 27.6]),)","(array([15.4, 20.2]),)","(array([ 70.6, 126.8]),)","(array([61.2, 84.2]),)","(array([30.3, 53.3]),)","(array([31.2, 51.9]),)"
2177,Exports_1,CADJPY,2,0.93,734.1,634.9000000000001,[289.1 445. ],[280.8 354.1],[139.3 276.6],[ 95.2 148.1],[149.8 284.1],[185.7 284.2],[22.2 43.1],[20.3 40.2],[24.9 46.8],[38.  57.6],"(array([33.9, 48.4]),)","(array([35.2, 47.8]),)","(array([ 70.8, 127.6]),)","(array([57.7, 80.6]),)","(array([30.2, 53.5]),)","(array([29.1, 50.5]),)"
2178,Exports_1.5,CADJPY,2,0.905,856.9,869.3,[345.7 511.2],[367.5 501.8],[170.6 324.2],[133.4 228.7],[175.1 323.5],[234.1 363.2],[40.2 74.4],[41.3 77.8],[39.5 71.8],[54.9 81.2],"(array([52.4, 75.6]),)","(array([54.6, 73. ]),)","(array([ 70.9, 128. ]),)","(array([57.7, 80.6]),)","(array([30.1, 53.6]),)","(array([29.1, 50.5]),)"
2179,Exports_2,CADJPY,3,0.58,1013.6,1033.3,[398.1 615.5],[451.8 581.5],[205.1 416.8],[161.2 293.8],[193.  350.3],[290.6 434.4],[50.2 92.7],[48.7 93.6],[50.2 92.5],[ 74.7 114.2],"(array([67.2, 97.7]),)","(array([ 81.7, 107.8]),)","(array([ 70.4, 128.2]),)","(array([57.7, 80.6]),)","(array([29. , 51.9]),)","(array([29.1, 50.5]),)"
2180,Exports_2.5,CADJPY,4,0.445,1116.0,1187.1,[439.3 676.7],[520.2 666.9],[224.9 447.7],[199.7 374.7],[214.4 383.3],[320.5 483.7],[ 62.8 115.6],[ 60.4 119.8],[ 68.9 123.8],[ 87.1 134.6],"(array([ 82.5, 121.4]),)","(array([100. , 127.1]),)","(array([ 70.4, 128.2]),)","(array([57.7, 80.6]),)","(array([29. , 51.9]),)","(array([29.1, 50.5]),)"
