index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
7440,ECB Economic Bulletin_3,EURCAD,2,0.86,1082.8,873.5999999999999,[444.4 638.4],[381.2 492.4],[199.6 358.7],[173.2 335.8],[244.8 442.8],[208.  353.2],[ 81.3 145.6],[ 69.7 138.1],[ 84.2 145.6],[ 77.3 132.8],"(array([ 99.8, 141.1]),)","(array([107.1, 141.7]),)","(array([ 69.5, 109.2]),)","(array([ 68.9, 104.9]),)","(array([34.1, 64.8]),)","(array([33.6, 63.5]),)"
7441,ECB Economic Bulletin_3.5,EURCAD,2,0.89,1196.6,936.8,[490.3 706.3],[413.7 523.1],[222.2 404.4],[179.2 345.8],[268.1 475.3],[234.5 386.1],[ 97.6 174.7],[ 76.7 154.9],[105.8 182.4],[118.9 197.9],"(array([124.3, 176.8]),)","(array([145.2, 187.8]),)","(array([ 69.5, 109.2]),)","(array([ 68.9, 104.9]),)","(array([34.1, 64.8]),)","(array([33.6, 63.5]),)"
7442,ECB Economic Bulletin_4,EURCAD,3,0.59,1356.1,1279.0,[556.7 799.4],[506.1 772.9],[266.4 495.5],[251.2 514.6],[290.3 508.1],[254.9 425.9],[118.9 208.9],[ 97.7 188.6],[125.8 214. ],[151.1 237.9],"(array([147.6, 207.2]),)","(array([149.2, 211.2]),)","(array([ 69.5, 109.2]),)","(array([ 68.9, 104.9]),)","(array([34.1, 64.8]),)","(array([33.6, 63.5]),)"
7443,ECB Financial Stability Review_0.5,EURCAD,2,0.88,495.8,451.5,[207.  288.8],[185.5 266. ],[ 87.6 167.9],[ 91.  170.2],[119.4 221.6],[ 94.5 176.7],[ 9.2 21. ],[10.7 21.2],[10.2 22.3],[ 8.5 19.6],"(array([20.5, 28.6]),)","(array([18.2, 24.9]),)","(array([ 77.2, 116.4]),)","(array([ 72.6, 110.7]),)","(array([38.2, 69.1]),)","(array([33.7, 63.2]),)"
7444,ECB Financial Stability Review_1,EURCAD,2,0.8,625.6,583.8,[259.6 366. ],[239.1 344.7],[112.8 205.9],[124.7 217.8],[146.7 277.5],[114.4 216.2],[21.4 46.8],[26.9 52.8],[19.5 40.4],[18.1 39.7],"(array([37.8, 50.9]),)","(array([38.5, 53.3]),)","(array([ 77.2, 116.4]),)","(array([ 72.6, 110.7]),)","(array([38.2, 69.1]),)","(array([33.7, 63.2]),)"
7445,ECB Financial Stability Review_1.5,EURCAD,2,0.86,708.0999999999999,684.1,[297.9 410.2],[284.  400.1],[120.3 223. ],[130.1 232.1],[177.5 303.6],[153.9 258.6],[24.9 53.1],[29.5 58.2],[49.3 83.1],[46.6 81.4],"(array([58.9, 76.2]),)","(array([60.2, 77.2]),)","(array([ 77.4, 117.8]),)","(array([ 73.2, 111.4]),)","(array([38.8, 70.6]),)","(array([34.4, 63.9]),)"
7446,ECB Financial Stability Review_2,EURCAD,2,0.64,792.8,785.3,[333.7 459.1],[325.1 460.2],[128.2 229.3],[139.9 238.9],[205.5 358. ],[185.2 333.5],[38.  79.4],[45.8 87.9],[ 63.  103.4],[ 61.  102.8],"(array([68.5, 95.5]),)","(array([69.5, 95.8]),)","(array([ 77.4, 117.8]),)","(array([ 73.2, 111.4]),)","(array([38.8, 70.6]),)","(array([34.4, 63.9]),)"
7447,ECB Financial Stability Review_2.5,EURCAD,2,0.66,856.5,825.4,[364.6 491.9],[351.5 473.9],[136.4 237.3],[150.2 247.6],[228.2 395.6],[201.3 346.8],[47.1 97.6],[ 57.2 108.3],[ 75.8 128.6],[ 73.3 127. ],"(array([ 81.3, 120.9]),)","(array([ 81.9, 118.8]),)","(array([ 77.4, 117.8]),)","(array([ 73.2, 111.4]),)","(array([38.8, 70.6]),)","(array([34.4, 63.9]),)"
7448,ECB Financial Stability Review_3,EURCAD,2,0.86,1001.9,911.9,[417.9 584. ],[393.7 518.2],[149.3 253.8],[166.3 265.8],[268.6 479. ],[227.4 373.1],[ 75.7 142.7],[ 92.9 156.7],[109.7 174.4],[ 99.6 165.3],"(array([106.7, 156.3]),)","(array([ 97.5, 140.6]),)","(array([ 77.4, 117.8]),)","(array([ 73.2, 111.4]),)","(array([38.8, 70.6]),)","(array([34.4, 63.9]),)"
7449,ECB Financial Stability Review_3.5,EURCAD,2,0.85,1104.3,991.1,[462.3 642. ],[435.6 555.5],[173.2 286.9],[196.2 302.1],[289.1 518.3],[239.4 378.5],[ 89.3 168.6],[110.  185.2],[131.9 200.4],[124.  194.2],"(array([120.3, 173.4]),)","(array([111.2, 156.1]),)","(array([ 77.4, 117.8]),)","(array([ 73.2, 111.4]),)","(array([38.8, 70.6]),)","(array([34.4, 63.9]),)"
7450,ECB Financial Stability Review_4,EURCAD,2,0.725,1224.4,1151.0,[524.4 700. ],[513.2 637.8],[190.5 300.3],[217.8 313. ],[333.9 547.2],[295.3 419.9],[112.8 202.1],[139.3 219.3],[150.5 221.4],[147.2 222.1],"(array([129.1, 184.9]),)","(array([122.2, 172.8]),)","(array([ 77.4, 117.8]),)","(array([ 73.2, 111.4]),)","(array([38.8, 70.6]),)","(array([34.4, 63.9]),)"
7451,ECB Hakkarainen Speaks_0.5,EURCAD,2,0.73,405.1,405.1,[160.7 244.4],[160.7 244.4],[ 98.2 195.8],[ 98.2 195.8],[ 62.5 117.1],[ 62.5 117.1],[ 6.1 14.3],[ 6.1 14.3],[ 8.1 20.1],[ 8.1 20.1],"(array([15.6, 24.1]),)","(array([15.6, 24.1]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
7452,ECB Hakkarainen Speaks_1,EURCAD,2,0.8,560.5,560.5,[223.1 337.4],[223.1 337.4],[129.5 255.6],[129.5 255.6],[ 93.6 163. ],[ 93.6 163. ],[19.  42.1],[19.  42.1],[25.9 51. ],[25.9 51. ],"(array([34.5, 54.2]),)","(array([34.5, 54.2]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
7453,ECB Hakkarainen Speaks_1.5,EURCAD,2,0.805,758.0,758.0,[292.6 465.4],[292.6 465.4],[138.9 267.4],[138.9 267.4],[153.7 298.4],[153.7 298.4],[30.2 61.7],[30.2 61.7],[43.2 80.7],[43.2 80.7],"(array([61.5, 82.9]),)","(array([61.5, 82.9]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
7454,ECB Hakkarainen Speaks_2,EURCAD,2,1.0,809.3,809.3,[318.6 490.7],[318.6 490.7],[141.9 270.5],[141.9 270.5],[176.6 331.4],[176.6 331.4],[34. 71.],[34. 71.],[ 70.5 114.9],[ 70.5 114.9],"(array([ 77.7, 104.6]),)","(array([ 77.7, 104.6]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
7455,ECB Hakkarainen Speaks_2.5,EURCAD,2,1.0,848.3,848.3,[345.5 502.8],[345.5 502.8],[145.1 274.5],[145.1 274.5],[200.4 350.8],[200.4 350.8],[37.3 81.1],[37.3 81.1],[ 94.4 144.8],[ 94.4 144.8],"(array([ 93.3, 125.3]),)","(array([ 93.3, 125.3]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
7456,ECB Hakkarainen Speaks_3,EURCAD,2,1.0,883.4,883.4,[367.6 515.8],[367.6 515.8],[145.9 275.6],[145.9 275.6],[221.7 378.5],[221.7 378.5],[38.4 84.7],[38.4 84.7],[102.3 159.5],[102.3 159.5],"(array([102.3, 141.3]),)","(array([102.3, 141.3]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
7457,ECB Hakkarainen Speaks_3.5,EURCAD,2,0.89,893.9000000000001,893.9000000000001,[371.2 522.7],[371.2 522.7],[145.9 275.6],[145.9 275.6],[225.3 385.8],[225.3 385.8],[38.4 84.7],[38.4 84.7],[116.3 184.5],[116.3 184.5],"(array([116.3, 167.6]),)","(array([116.3, 167.6]),)","(array([60.3, 97.4]),)","(array([60.3, 97.4]),)","(array([27.3, 50.2]),)","(array([27.3, 50.2]),)"
