index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
1281,German 5-Year Bobl Auction_1,EURJPY,3,0.58,619.7,824.4000000000001,[243.1 376.6],[330.1 494.3],[112.5 216.1],[132.7 226.6],[130.6 257.6],[197.4 312. ],[25.3 48.2],[22.2 46.1],[27.5 48.9],[25.8 44.6],"(array([35.9, 51.6]),)","(array([38.3, 48.5]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1282,German 5-Year Bobl Auction_1.5,EURJPY,2,0.855,748.1,958.3,[299.5 448.6],[402.4 555.9],[136.7 257.2],[172.7 271.7],[162.8 313.5],[229.7 366.5],[39.6 72.1],[42.2 75.1],[42.6 75. ],[45.7 78. ],"(array([53.9, 76.7]),)","(array([52.5, 74.3]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1283,German 5-Year Bobl Auction_2,EURJPY,2,0.87,861.5,1059.6,[348.5 513. ],[453.8 605.8],[157.6 294.6],[186.7 284. ],[190.9 359.6],[267.2 398. ],[53.8 97. ],[ 68.5 114.6],[ 59.8 103.2],[ 61.7 102.9],"(array([69.4, 98.7]),)","(array([ 74.4, 102. ]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1284,German 5-Year Bobl Auction_2.5,EURJPY,2,0.83,994.7,1229.0,[396.  598.7],[536.7 692.3],[183.5 348.1],[244.2 392. ],[212.5 403.5],[292.5 412.6],[ 67.7 120.4],[ 83.6 138.1],[ 73.8 125.6],[ 78.2 129.8],"(array([ 82.3, 118.9]),)","(array([ 77.2, 117.2]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1285,German 5-Year Bobl Auction_3,EURJPY,2,0.84,1120.6,1353.1,[444.  676.6],[598.  755.1],[208.6 408. ],[284.4 462.7],[235.4 435.9],[313.6 439.8],[ 80.5 145.2],[ 98.7 165.1],[ 96.3 158.8],[ 96.9 154.8],"(array([ 98.2, 144. ]),)","(array([ 89.8, 138.7]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1286,German 5-Year Bobl Auction_3.5,EURJPY,3,0.95,1254.9,1690.6,[498.4 756.5],[714.2 976.4],[232.5 453. ],[316.4 554.8],[265.9 491.7],[397.7 640.4],[ 99.3 177.2],[108.5 186.1],[110.7 183.2],[116.6 189.6],"(array([119.8, 172.4]),)","(array([119.2, 175. ]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1287,German 5-Year Bobl Auction_4,EURJPY,3,0.9266666666666666,1348.6,1791.1,[533.9 814.7],[ 763.3 1027.8],[256.6 510.4],[352.6 586.1],[277.3 507.8],[410.7 676.2],[119.6 206.1],[138.8 224.7],[121.6 202.3],[117.8 192.4],"(array([134.7, 193.2]),)","(array([123.8, 176.6]),)","(array([60.2, 96.7]),)","(array([62.1, 91.4]),)","(array([31.7, 59.9]),)","(array([25.9, 49.5]),)"
1288,German 6-Month Bubill Auction_0.5,EURJPY,2,0.91,415.4,470.4,[167.9 247.5],[190.7 279.7],[ 71.2 134.7],[ 78.7 157.5],[ 96.8 173.5],[112.1 189.4],[ 8.8 20.6],[11.3 24.7],[13.6 25.6],[16.4 27.6],"(array([18.6, 26.8]),)","(array([20.7, 27.4]),)","(array([46.5, 67.3]),)","(array([49.9, 72.8]),)","(array([23.2, 38.5]),)","(array([26.8, 45.9]),)"
1289,German 6-Month Bubill Auction_1,EURJPY,2,0.89,565.7,612.0,[227.1 338.6],[252.4 359.6],[112.6 223.8],[127.7 247.1],[114.5 207.4],[124.7 204.1],[29.6 54.7],[28.4 54.6],[21.5 41.8],[25.1 40.4],"(array([38.9, 53.9]),)","(array([33.5, 48.3]),)","(array([46.5, 67.3]),)","(array([49.9, 72.8]),)","(array([23.2, 38.5]),)","(array([26.8, 45.9]),)"
1290,German 6-Month Bubill Auction_1.5,EURJPY,2,0.89,665.4,649.4,[272.7 392.7],[278.2 371.2],[138.5 265.8],[145.2 264.8],[134.2 241.4],[132.9 211.5],[43.9 76.8],[40.7 74.3],[34.6 66.1],[34.6 63.4],"(array([52. , 74.9]),)","(array([45.8, 65.7]),)","(array([46.5, 67.3]),)","(array([49.9, 72.8]),)","(array([23.2, 38.5]),)","(array([26.8, 45.9]),)"
