index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
8337, RBA Rate Statement _3,NZDCAD,2,0.89,709.0999999999999,773.0,[284.4 424.7],[330.2 442.8],[135.6 231.7],[119.2 215.3],[148.8 293.2],[211. 326.],[ 84.1 145.4],[ 81.9 143.6],[ 82.4 147.5],[ 96.9 161. ],"(array([ 93.7, 144.3]),)","(array([109.3, 159.6]),)","(array([42.9, 82.5]),)","(array([44.4, 90.2]),)","(array([19.4, 40.6]),)","(array([19.2, 37.3]),)"
8338, RBA Rate Statement _3.5,NZDCAD,2,0.835,743.0999999999999,793.9,[301.2 441.9],[343.7 450.2],[143.1 244.5],[123.4 223.7],[158.1 306.5],[220.2 336.9],[ 96.5 168.9],[ 84.5 150.6],[ 92.4 166.6],[ 99.8 167.6],"(array([108.5, 164.4]),)","(array([114.8, 169. ]),)","(array([42.9, 82.5]),)","(array([44.4, 90.2]),)","(array([19.4, 40.6]),)","(array([19.2, 37.3]),)"
8339, RBA Rate Statement _4,NZDCAD,2,0.87,818.9000000000001,891.2,[331.1 487.8],[399.2 492. ],[154.7 270.8],[128.  237.6],[176.4 342.4],[271.2 405.8],[112.8 197.3],[ 91.3 167.9],[117.8 208.9],[144.1 240.6],"(array([138.2, 204.1]),)","(array([151.7, 229.5]),)","(array([42.9, 82.5]),)","(array([44.4, 90.2]),)","(array([19.4, 40.6]),)","(array([19.2, 37.3]),)"
8340, Retail Sales (MoM)_0.5,NZDCAD,3,0.5566666666666666,308.9,239.8,[123.4 185.5],[104.9 134.9],[ 57.3 101.1],[50.7 75.5],[ 66.  126.5],[54.2 97. ],[11.1 22.9],[13.9 24.3],[11.3 22.9],[11.8 23.4],"(array([18.1, 26.4]),)","(array([15.4, 22.9]),)","(array([43. , 74.3]),)","(array([38.9, 51.9]),)","(array([20.4, 39.6]),)","(array([20.5, 32.8]),)"
8341, Retail Sales (MoM)_1,NZDCAD,4,0.54,411.9,344.6,[162.7 249.2],[148.2 196.4],[ 75.5 144.4],[ 91.8 143.8],[ 87.2 163.6],[ 56.4 101.5],[26.2 48.1],[34.6 56. ],[26.8 48.4],[14.2 30.4],"(array([33.8, 49.7]),)","(array([34.9, 53. ]),)","(array([41.3, 71. ]),)","(array([38.9, 51.9]),)","(array([20.4, 40. ]),)","(array([20.5, 32.8]),)"
8342, Retail Sales (MoM)_1.5,NZDCAD,3,0.7266666666666667,504.0,397.3,[203.6 300.4],[168.4 228.9],[ 94.3 169.7],[111.2 171.9],[109.3 202.8],[ 57.2 102. ],[42.7 74.1],[49.1 82.5],[44.7 74.8],[26.7 54.4],"(array([46.6, 70.1]),)","(array([46.4, 71. ]),)","(array([40.2, 66.5]),)","(array([38.9, 51.9]),)","(array([20.2, 39.7]),)","(array([20.5, 32.8]),)"
8343, Retail Sales (MoM)_2,NZDCAD,3,0.91,589.3,744.1,[230.5 358.8],[247.9 496.2],[105.8 216.8],[188. 438.],[124.7 228.5],[ 59.9 102.9],[50.3 88.1],[ 67.2 108.1],[57.9 97.8],[38.8 77.6],"(array([59.3, 87.8]),)","(array([60.7, 85.7]),)","(array([39.6, 65.7]),)","(array([38.9, 51.9]),)","(array([19.8, 39.1]),)","(array([20.5, 32.8]),)"
8344, Retail Sales (MoM)_2.5,NZDCAD,3,0.5866666666666667,630.9,771.1,[248.  382.9],[262.5 508.6],[114.8 233. ],[202.4 450.2],[133.2 246.7],[ 60.1 103.3],[ 63.6 116.3],[ 82.7 139. ],[ 67.5 116.1],[45.9 93.7],"(array([ 77.6, 118.3]),)","(array([ 83.3, 127.4]),)","(array([39.6, 66.3]),)","(array([38.9, 51.9]),)","(array([19.6, 39.3]),)","(array([20.5, 32.8]),)"
8345, Retail Sales (MoM)_3,NZDCAD,2,0.88,654.3,804.9000000000001,[259.5 394.8],[280.7 524.2],[121.5 242.7],[218.9 463.3],[138.  252.7],[ 61.8 107.5],[ 77.3 139.2],[108.1 169.1],[ 78.  135.5],[ 49.2 104. ],"(array([ 91. , 139.9]),)","(array([107.9, 162.1]),)","(array([39.9, 66.7]),)","(array([38.9, 51.9]),)","(array([19.7, 39.6]),)","(array([20.5, 32.8]),)"
8346, Retail Sales (MoM)_3.5,NZDCAD,2,0.865,681.6,849.3000000000001,[270.8 410.8],[302.6 546.7],[128.4 254.3],[240.7 484.6],[142.5 261.3],[ 61.8 107.5],[ 90.7 164.4],[129.8 201.9],[ 87.6 155. ],[ 49.2 104. ],"(array([109.1, 164.9]),)","(array([119.5, 179.3]),)","(array([40.1, 67.1]),)","(array([38.9, 51.9]),)","(array([19.8, 39.9]),)","(array([20.5, 32.8]),)"
8347, Retail Sales (MoM)_4,NZDCAD,2,0.905,702.0,861.9,[278.8 423.2],[307.9 554. ],[137.8 270.6],[246.1 490.7],[141.1 260.9],[ 61.8 107.5],[106.7 191.6],[144.8 220. ],[ 97.4 173.6],[ 49.2 104. ],"(array([128.5, 188.9]),)","(array([134.5, 198.9]),)","(array([38.6, 63. ]),)","(array([38.9, 51.9]),)","(array([18.4, 35.3]),)","(array([20.5, 32.8]),)"
8348, Retail Sales (QoQ)_0.5,NZDCAD,3,0.53,351.1,305.2,[135.6 215.5],[118.7 186.5],[42.  72.1],[35.9 58.9],[ 93.5 178.9],[ 82.7 156.1],[11.3 22.8],[11.8 21.2],[12.2 23.2],[11.5 22.8],"(array([17.3, 25.1]),)","(array([15.5, 22.5]),)","(array([37.5, 59.2]),)","(array([37.2, 50.9]),)","(array([18.9, 36.7]),)","(array([20.4, 32.1]),)"
8349, Retail Sales (QoQ)_1,NZDCAD,3,0.96,458.9,361.0,[181.9 277. ],[146.7 214.3],[54.1 89.2],[50.7 79.2],[127.9 229.6],[ 95.9 164.9],[22.  43.4],[26.2 48.4],[32.6 53.5],[30.8 52. ],"(array([34.4, 50.5]),)","(array([32.4, 49.2]),)","(array([37.5, 59.2]),)","(array([37.2, 50.9]),)","(array([18.9, 36.7]),)","(array([20.4, 32.1]),)"
8350, Retail Sales (QoQ)_1.5,NZDCAD,2,0.83,563.9,420.9,[225.1 338.8],[175.7 245.2],[ 74.7 131.2],[ 67.9 118.5],[150.5 273. ],[107.7 172.3],[34.7 68.3],[34.6 66.2],[48.5 77.8],[46.3 78.9],"(array([48. , 70.6]),)","(array([45.4, 68.7]),)","(array([37.5, 59.2]),)","(array([37.2, 50.9]),)","(array([18.9, 36.7]),)","(array([20.4, 32.1]),)"
8351, Retail Sales (QoQ)_2,NZDCAD,2,0.865,618.4,528.4000000000001,[248.  370.4],[210.3 318.1],[ 88.1 151.5],[ 84.7 140.9],[159.9 288.9],[125.7 223.8],[49.4 92.7],[56.1 99.5],[57.1 95.8],[ 57.3 101.5],"(array([64.7, 96.6]),)","(array([ 72.1, 104.3]),)","(array([37.5, 59.2]),)","(array([37.2, 50.9]),)","(array([18.9, 36.7]),)","(array([20.4, 32.1]),)"
8352, Retail Sales (QoQ)_2.5,NZDCAD,2,1.0,686.5,626.9,[273.2 413.3],[243.5 383.4],[ 98.2 174.5],[103.2 183.2],[175.  322.3],[140.2 261.8],[ 68.3 131.2],[ 86.4 149.9],[ 66.6 116.5],[ 59.7 107.4],"(array([ 89.4, 132.1]),)","(array([ 90.8, 134.1]),)","(array([37.4, 59.5]),)","(array([37.2, 50.9]),)","(array([18.6, 36.5]),)","(array([20.4, 32.1]),)"
